CLASS NAME,SENSITIVITY LEVEL
StdMOB,0.01821619627375023
StdMOB,0.01821619627375023
StdMOB,0.01821619627375023
StdMOB,0.01821619627375023
StdMOB,0.01821619627375023
StdMOB,0.01821619627375023
StdMOB,0.01821619627375023
StdMOB,0.01821619627375023
StdMOB,0.01821619627375023
StdMOB,0.01821619627375023
StdMOB,0.01821619627375023
StdMOB,0.01821619627375023
StdMOB,0.018053911301338675
StdMOB,0.018053911301338675
StdMOB,0.018053911301338675
StdMOB,0.018053911301338675
StdMOB,0.018053911301338675
StdMOB,0.018053911301338675
StdMOB,0.018053911301338675
StdMOB,0.018053911301338675
StdMOB,0.018053911301338675
StdMOB,0.018053911301338675
StdMOB,0.018053911301338675
StdMOB,0.017895683453237412
StdMOB,0.01774136246558309
StdMOB,0.01774136246558309
StdMOB,0.017590805404456924
StdMOB,0.017590805404456924
StdMOB,0.017590805404456924
StdMOB,0.017590805404456924
StdMOB,0.017590805404456924
StdMOB,0.017590805404456924
StdMOB,0.017590805404456924
StdMOB,0.01744387622432175
StdMOB,0.01744387622432175
StdMOB,0.01744387622432175
StdMOB,0.01744387622432175
StdMOB,0.01744387622432175
StdMOB,0.01744387622432175
StdMOB,0.01744387622432175
StdMOB,0.01744387622432175
StdMOB,0.01744387622432175
StdMOB,0.01744387622432175
StdMOB,0.01744387622432175
StdMOB,0.01744387622432175
StdMOB,0.01744387622432175
StdMOB,0.017300445357999315
StdMOB,0.017300445357999315
StdMOB,0.01688993632680063
StdMOB,0.01688993632680063
StdMOB,0.016759319816873775
StdMOB,0.016148371625280423
